day_of_year,climatology_mean,climatology_std,years_observed,wind_speed_2026_daily_mean
42,3.6429737345987343,2.403636752789769,7,3.537659722222222
43,2.8113568584193587,2.2103575778561915,7,6.754409722222222
44,2.3140783313908315,1.3688546700692141,7,1.7898819444444445
45,2.92387746975247,1.9251606780463661,7,2.291215277777778
46,1.9124234515484517,0.769089145526157,7,2.5246180555555555
47,2.40876134976135,2.285898974814578,7,7.399555555555556
48,2.7746924603174605,1.9023002630948784,7,6.398118055555555
49,1.733036088911089,0.5803743570783616,7,1.8256805555555558
50,2.2995618825618824,1.2847044930822695,7,2.8882430555555554
51,1.4680425754800754,0.6653185117218005,7,1.2185833333333334
52,2.182006368631369,2.052017848678895,7,1.9858819444444444
53,1.7783484640359641,1.2286127378888945,7,1.365388888888889
54,1.2829436535686534,0.7172459161528899,7,1.2230208333333334
55,2.091569444444444,1.4364783434939634,6,0.85125
56,3.2065415857290858,1.6013701769719804,6,0.8710138888888889
57,4.972699834887335,4.40031923406452,7,0.8186527777777778
58,3.982740238927739,2.9225968819819212,6,0.8598194444444444
59,3.187115918803419,1.7614354758400692,6,1.6794791666666666
60,3.225034277065527,2.31741170046252,6,1.0919097222222223
61,2.1453863555426054,1.4113372368158712,6,1.2554444444444444
62,1.4746458333333334,0.7953021010723942,7,1.0440763888888889
63,1.9065662254412257,0.8480348408965926,7,1.0826527777777777
64,1.6555249044936546,0.5867761018848084,6,1.07993006993007
65,2.549958997441952,1.24462116193994,7,0.8376180555555556
66,2.3983781357531355,1.9100635251371736,7,1.0735000000000001
67,1.8112701881451883,0.6894649330688463,7,1.0983541666666667
68,1.9845539044289044,1.135945535890918,7,1.149125
69,2.6359355158730158,2.386994991083987,7,1.3979375
70,2.5414630369630373,1.2860043603555085,7,2.758097222222222
71,2.249859897047397,1.1778948245854264,7,1.2449861111111111
72,3.376525203962704,2.4327556596926776,7,1.7173888888888889
73,3.4354610667110665,1.8834032898925097,7,4.429763888888889
74,2.6835887376512377,1.6337398021658869,7,4.545756944444445
75,1.488357493201243,0.4166099212428173,6,1.5280972222222222
76,2.705935515873016,1.7416951513408951,7,3.101840277777778
77,3.223612817737817,2.8714169450333205,7,3.772354166666667
78,2.128213841713842,1.541022130632266,7,2.585652777777778
79,2.0662339674214674,2.379274685544479,7,1.14075
80,1.531547619047619,1.0438119292036823,7,1.204215277777778
81,2.5870067918192916,2.2206188915786664,7,2.8232222222222223
82,2.058401841214341,1.0083089967934538,7,1.302173611111111
83,2.4826549518743666,1.5795641907133127,7,1.414625
84,3.2361743466864867,1.2319779586833786,7,4.226972222222222
85,2.684117195304695,1.183777717351882,7,2.4796319444444443
86,3.8032718253968256,2.0197035540085877,7,5.7225069444444445
87,1.6132056415806415,0.768315919705677,7,1.7240277777777777
88,3.177228146853147,2.0520916230115227,7,6.834777777777777
89,2.9915740717615718,1.3663192751581186,7,2.5193541666666666
90,4.596101134976135,2.8144584780734734,7,4.253159722222223
91,4.065460976523476,2.442488341725919,7,6.291006944444444
92,2.917144758019758,1.6776272827802685,7,4.7145069444444445
93,4.080230158730159,2.9633195550714007,7,1.4559444444444445
94,2.814673618048618,2.1969874467368204,7,0.8421458333333334
95,1.8555246836496837,0.5896962391199232,7,1.4377013888888888
96,2.4025995115995116,1.6976576223984101,7,1.0422986111111112
97,2.159113997113997,1.3204357092047234,7,1.0475555555555554
98,2.2305035353535354,1.774794060038203,7,0.9031944444444444
99,2.054594828782329,1.0066747258722377,7,1.182423611111111
100,2.1097116772116773,1.0940636834951967,7,1.1425277777777778
101,2.1508453005328003,1.2832412774923214,7,1.9542291666666667
102,1.9894980852480852,0.9965542130213821,7,2.112201388888889
103,2.3492859224109224,2.0678622697371476,7,1.8753194444444443
104,2.4533464937839935,1.8784823927923804,7,4.779673611111111
105,3.0890812104562104,2.4583314666197094,7,1.2899027777777778
106,3.003956997863248,2.302343973187375,6,1.7048125
107,3.4473391203703705,2.48227193748247,6,0.8395
108,1.8977463578088578,0.8172068959585472,6,1.0331527777777778
109,2.3408485958485956,0.7635380914542095,7,2.4897083333333336
110,1.9476358363858364,0.6628251572716172,7,2.420451388888889
111,2.3271662642912645,0.7874620699491464,7,3.6271319444444448
112,2.409886217948718,1.1015539543291406,7,3.4272430555555555
113,3.252805247992748,2.181218753629328,6,1.9365069444444447
114,2.5269074074074074,2.228821168045008,6,1.0739930555555555
115,2.08078749028749,0.7478687958028029,6,1.361375
116,2.0056537814037814,0.48099641959103884,6,1.7620277777777777
117,1.7446287393162392,0.5729938594623579,6,1.1954722222222223
118,1.7302146626521626,0.4163727057628845,6,1.6406527777777777
119,2.175583063001813,0.8465338004265663,6,3.2560694444444445
120,1.6153682636807638,0.6690664865917998,7,1.9306041666666667
121,1.7032480158730157,0.5935158032640647,7,1.358513888888889
122,2.61771978021978,1.884043896417878,7,1.3909930555555556
123,2.473841027028527,0.8671348155590505,7,1.9744652777777776
124,2.223970238095238,1.2614032919766596,7,1.6743611111111112
125,2.631972617660118,1.5701369548837265,7,1.8306944444444444
126,3.5246638292263293,2.5032493232724824,7,3.090145833333333
127,3.159790542790543,1.59526032878249,7,2.1320694444444444
128,2.2738690476190473,1.4087191993749408,7,1.70725
129,2.30432698795727,1.4460360502251965,7,1.450972222222222
130,2.205946602009102,1.0582934730045606,7,1.6244305555555556
131,2.261918754856255,1.2242566935183383,7,4.4838125
132,2.2591101259851256,1.2075122715610702,7,1.9654236111111112
133,2.5637591852591854,0.9726439229090037,7,4.464569444444445
134,2.6255485139860144,1.820410766089767,7,6.523048611111111
135,2.8190158730158728,0.9227880132572016,7,2.417569444444444
136,3.252027453989544,1.8776111654623215,7,2.065930555555555
137,2.9944808688502507,2.4152415420645523,7,1.5824236111111112
138,2.523107871295371,1.1772843692628463,7,2.320972222222222
139,2.1591612276612278,0.5663869885380002,7,1.7983194444444446
140,2.5703209368878386,1.570268843389927,7,2.33906338028169
141,2.690731095293595,2.5749025815190474,7,1.3010555555555556
142,1.9546607142857142,0.5680331210964946,7,1.0237916666666667
143,2.1108801406926405,0.7313004602382902,7,1.3676597222222222
144,2.8664693986568985,1.0988716981099327,7,1.9906319444444445
145,2.788087176712177,1.3578022454023222,7,0.9622013888888888
146,2.580008762071262,1.6917896900163718,7,1.0890763888888888
147,2.498598124098124,1.6139888063954506,7,1.4563819444444444
148,3.1497661158286157,1.7790217070516807,7,5.222465277777777
149,3.614785714285714,1.6323114034356168,7,4.2595
150,3.0409206626706626,2.3037241467403167,7,0.9929513888888888
151,2.3300024350649347,1.0188200441963344,7,2.052951388888889
152,2.1150679228179228,0.5937483086869065,6,1.6937291666666665
153,2.32830647015022,0.7321390709643564,6,2.8001805555555555
154,1.952647516835017,0.775540264776583,6,3.337416666666667
155,2.491081657925408,0.5424455737428366,6,2.941131944444445
156,2.125755952380952,0.5089872542170865,7,2.4458055555555553
157,2.637570991508492,1.6500833264852235,7,1.3885972222222223
158,2.459107767232767,0.550190689336125,7,1.8999791666666666
159,2.2421840243090245,1.4549942081098695,7,1.551263888888889
160,2.2481484626484627,1.05881350813031,7,3.5520416666666663
161,2.317614552114552,0.6744842671672577,7,2.858611111111111
162,1.7640679043179044,0.594146530938652,7,2.130201388888889
163,1.8898924825174823,0.8143124746171228,7,1.8315833333333333
164,2.4499062534687535,1.0903951624732908,7,1.2512222222222222
165,1.9106432525807528,0.684887055798747,7,1.6791388888888887
166,1.9376103687978687,0.5671673326852213,7,2.0205486111111113
167,2.578989961427461,1.5644919209120949,7,1.4366666666666665
168,2.0135762640137638,0.7668074694487081,7,1.498923611111111
169,1.5094177916990417,0.308329569030843,6,1.1923819444444446
170,2.100211805555556,0.5768188865066969,6,2.945027777777778
171,1.8913484154734153,0.5725895114445138,7,1.1759583333333332
172,2.080277708402708,0.5893788253307507,7,1.0667222222222223
173,2.568040952103452,0.5983192826241279,7,2.0601319444444446
174,2.7163220390720393,0.7844763903758981,7,2.1844930555555555
175,3.616277645965146,1.6775385834830745,7,2.712638888888889
176,2.1485779983904982,0.7133409199198802,7,2.384472222222222
177,2.059068487068487,0.4013456454441545,7,2.2295524475524475
178,1.95538677988678,0.6067567051849283,7,1.7044166666666667
179,2.248578706016206,0.6176349315168417,7,2.159409722222222
180,2.6872316433566437,1.0028639574253186,7,3.9218333333333337
181,2.9927882534132535,0.9812938187619964,7,2.5873541666666666
182,2.8255509663947165,1.2865995325374986,6,3.0405208333333333
183,2.5093939491064488,1.2836510754141706,5,
184,2.333461805555556,0.6863006478919244,6,
185,2.552086514180264,0.5560005693699862,6,
186,2.2892623510748513,0.6523660041374384,6,
187,2.345405197811448,1.230317857096789,6,
188,3.0542014412285243,1.3959539707600805,6,
189,3.5840749967624963,2.1279722718477494,6,
190,2.523764862377765,1.3764654505056781,7,4.778956989247312
191,2.521022363053613,1.6147070834689299,6,1.601986111111111
192,2.5693207070707067,1.1124656510097832,7,3.1158888888888887
193,2.5777642496392494,0.8766315191062858,7,3.9083194444444445
194,2.4656507242757244,1.1759294933701365,7,1.254
195,2.2359660755910755,1.3358432581761945,7,1.3423541666666667
196,2.1890194666444667,0.531929354239973,7,2.078659722222222
197,2.5291443903318904,0.7973981419961642,7,3.4979027777777776
198,3.338850468975469,1.7532806337086735,7,3.5681458333333333
199,3.3591571484071485,2.3340099982626357,7,2.0251319444444444
200,3.2058670912420912,1.9030841553230584,7,3.0524791666666666
201,2.2289401986901987,0.8650166141518056,7,2.918923611111111
202,2.5878634559884555,1.4411977253144739,7,4.070729166666666
203,2.4527801226551227,1.0221571926773696,7,2.950902777777778
204,2.4870587537462536,0.9192676360095118,7,2.9155277777777777
205,2.4530294011544016,0.8678656348567055,7,2.2303472222222225
206,3.4013483044733044,1.511157105616049,7,3.1896875
207,2.30296780996781,0.792286899263782,7,2.6900833333333334
208,2.6257805874680877,0.9039560299010088,7,3.1950069444444447
209,1.9812548354423356,0.5293978439421804,7,1.5122847222222222
210,2.1513173683954934,0.48888020034254637,8,1.3505347222222222
211,2.2578284952894325,0.7235770769682629,8,1.9321319444444442
212,1.836068758498446,0.5807771465670044,8,1.619763888888889
213,2.5331307000291376,1.2376097321188244,8,2.806597222222222
214,2.8903881058177934,1.421817735600551,8,1.3307638888888889
215,2.629463377768065,0.9409113312217897,8,2.7105277777777776
216,2.1904585640054393,0.9396550161891796,8,1.8599999999999999
217,2.7621104737276614,1.2166488257902577,8,1.5497847222222223
218,3.3896688034188034,1.6437975737636976,8,2.0412222222222223
219,2.419004819832945,0.9076199678991568,8,2.4735416666666667
220,2.005453137140637,1.1200057379100397,8,1.2489513888888888
221,1.9709386897824397,0.9012098722947305,8,1.8129652777777778
222,1.806164372086247,0.44870054581548335,8,1.6245694444444443
223,1.9038022023115773,0.8933337445511325,8,3.452652777777778
224,2.1031621150162096,0.8375357621691563,8,1.790298611111111
225,2.59726592244561,1.2606722385911495,8,1.107201388888889
226,2.7089752695221447,1.2308779230272135,8,4.028138888888889
227,2.250586945172883,0.906757822885508,8,4.170034722222223
228,2.5299247766122765,1.2413997655626368,8,3.7911041666666665
229,2.653981121309246,0.9181407482584366,8,2.631611111111111
230,2.290454794337607,0.5680632468389831,8,1.610138888888889
231,2.0063061200951826,0.7790224748310618,8,2.1730555555555555
232,2.1925895493395493,1.4350175480938498,8,3.069875
233,2.154652292152292,1.4675494698114717,8,2.2199444444444447
234,2.420274426961927,0.8508925654323766,8,3.306840277777778
235,2.6569269862082363,1.1334242926712987,8,1.5979999999999999
236,2.4251191117909867,1.7920074470495475,8,1.6565486111111112
237,2.105576024669775,0.6565439413367413,8,1.855888888888889
238,2.1569964488636364,0.5012980814322137,8,1.5978611111111112
239,2.7648052641802643,1.411016999299964,8,1.2969722222222222
240,2.4985332956973583,1.195280082842886,8,2.4745694444444446
241,2.748244026806527,1.389679287480577,8,2.339138888888889
242,2.2653381895881894,1.043052015192574,8,2.0053541666666668
243,2.8664458831099457,1.2659842217512987,8,3.7814652777777775
244,2.17528048513986,0.5618807317043961,8,1.3029374999999999
245,2.3225882624320127,1.2667483806932418,8,1.4250625000000001
246,2.0078309476981353,0.5844707946660288,8,1.4297847222222222
247,1.6500759154040403,0.4356890358312364,8,2.031954545454546
248,1.9526484765234766,0.8492392900074485,7,
249,2.5498061244311243,1.6549394924436764,7,
250,1.9849551906426905,1.0868376064347312,7,
251,2.6557773476523474,1.8877365451403607,7,
252,2.1153040154290155,1.453361123251481,7,
253,2.4256334013209013,1.732976168990899,7,
254,2.53199922993673,1.7841027895433317,7,
255,2.263809516872017,1.3129012727539071,7,
256,1.7750530927405925,0.6430023429924149,7,
257,2.1721822205572208,0.9085516599701375,7,
258,2.702583825896326,2.0073119343355255,7,
259,2.470797952047952,1.4593185753394897,7,
260,2.445369748307248,1.163772704638491,7,
261,3.4402595216086596,2.1755997673489857,7,
262,2.7517754144004143,1.6006938751880155,6,
263,2.158055722055722,1.3112529904479449,7,
264,2.289559142246642,1.0269323603287563,7,
265,2.490214923964924,1.3211137583116674,7,
266,1.8748272075147077,0.38340044972231185,7,
267,2.3390735445110447,0.7095598500662217,7,
268,3.0113312867687867,1.2954195793204692,7,
269,2.93636186036186,1.8111989115357936,7,
270,3.899680611055611,2.8311200597392707,7,
271,4.197125416250416,2.5840506964870205,7,
272,3.1287065503940505,1.1056210775937292,7,
273,2.5839262265512266,0.576922026898337,7,
274,2.6134653124653124,1.476651431604828,7,
275,2.325944708069708,0.7996817564294326,7,
276,2.606274648962149,0.6167168561956251,7,
277,3.6932285145410146,1.8873609344544124,7,
278,4.01909256021756,2.197118699174595,7,
279,3.210394216894217,2.1513500411168507,7,
280,2.8240861985236987,2.3452444289157395,7,
281,2.6775152972027976,1.785559127630017,7,
282,2.7025690975690972,1.683628066295955,7,
283,2.3256250832500833,1.2131332861973871,7,
284,2.524752816627817,1.204630565423118,7,
285,2.2882896894771894,0.6879518235114204,7,
286,2.5941638014763018,1.4395333162563773,7,
287,2.6994985084360086,1.3509879757019139,7,
288,3.2555030316905316,1.1678685942398483,7,
289,2.7033606462981465,1.7294442301507928,7,
290,2.1202955724830725,1.863853187073951,7,
291,1.4936405677655675,0.30114277300153297,7,
292,1.698334928959929,0.2142116200513237,7,
293,2.1226649739149734,1.1542484705366174,7,
294,3.0698388139638135,2.2422823022943983,7,
295,1.9395995115995117,0.8598267377736467,7,
296,2.850080738705739,2.6916282820297326,7,
297,2.6284512362637362,2.1843448952340934,7,
298,2.049085060772561,1.2484748471262472,7,
299,2.647075598013098,2.2302251360665184,7,
300,2.9949282314907313,2.3842341450837234,7,
301,1.990529963092463,1.224324565223046,7,
302,1.6497744216480918,0.5093636343998764,7,
303,1.7730287085599585,0.7040418098507781,6,
304,1.4173770477207979,0.2174380810204723,6,
305,1.9563090728715729,0.47979475416120354,7,
306,2.7948029470529474,1.6011594672979759,7,
307,3.0868990453990457,1.772097262880247,7,
308,3.537159854034854,1.9622682923751364,7,
309,3.7073428932178936,2.4468111991579087,7,
310,2.8985014776889777,1.3076241564299838,7,
311,2.533213286713287,1.701453862010313,7,
312,2.2070851856476854,1.5309597802704116,7,
313,2.1633760406260407,0.9473393992879005,7,
314,2.5682142718392718,2.187401513094975,7,
315,2.374762765012765,1.628494073151695,7,
316,2.4851360583860584,1.22094376052574,7,
317,2.2386612207237206,1.3967959303376036,7,
318,3.3074518239665642,1.3157916370650886,6,
319,3.2909877298627297,1.3983201717383271,6,
320,2.5286054859492357,0.8298156753287014,6,
321,3.4454783966033964,1.325137255547565,7,
322,3.197791978854479,1.5014842225815177,7,
323,2.7725635545010547,1.299038111303832,7,
324,3.316171196858697,1.5150290114429121,7,
325,3.715049353424353,1.8221722491758066,7,
326,4.851546071983572,1.8863224791156772,7,
327,3.076669198856699,1.7354559119266468,7,
328,2.4940371919746918,1.0080683730557325,7,
329,2.725011842324342,1.7254377037773885,7,
330,2.391199272949273,1.0338579173600335,7,
331,3.3399228965478964,1.9114292745648604,7,
332,3.676978785103785,2.35246324114786,7,
333,2.5835458916083915,1.1246397786859323,7,
334,3.0044641053391055,1.148120537556101,7,
335,2.658183281995782,1.067949693602202,7,
336,2.6653719556587205,1.2247689440952099,7,
337,2.8705578703703707,1.3132358001792472,6,
338,2.3509744214119217,0.7815394262197188,7,
339,3.328454802142302,1.8002653025221138,7,
340,1.984197802197802,0.47086135307203353,7,
341,2.2499373334998336,0.5873118036664233,7,
342,2.913711975524475,0.6902137468913262,7,
343,3.1280337925962924,2.287814902490324,7,
344,3.7309657553095055,2.6100120225084997,6,
345,3.083087891275391,1.4998345735151706,7,
346,2.9285329115329115,1.7555749560656788,7,
347,3.2622909451659448,2.179992272525394,7,
348,2.353895791708292,1.6133320542180594,7,
349,2.0510580391830393,0.5436962532253937,7,
350,2.0776706904206903,1.07364083060314,7,
351,1.8537162837162835,0.9358626085026076,7,
352,1.5548336802086802,0.4935748535608303,7,
353,1.415403971028971,0.3356503876613046,7,
354,2.0804502303252304,0.9455876906151363,7,
355,2.2403509546009546,1.4152240997996717,7,
356,3.657314657564658,2.4234035623325916,7,
357,3.822767267454768,1.8182671897516416,7,
358,3.0983139152514148,2.5473322014930173,7,
359,2.8722732822732824,1.8127939380738134,7,
360,2.7520153665778664,1.0758327327366441,7,
361,2.317389894827395,1.0660026785699852,7,
362,2.943543259528692,1.3960748579522484,7,
363,3.1575500518000523,2.089115973169481,6,
364,2.910915752072002,2.0689605235116293,6,
365,2.289490277777778,1.5378231934774504,5,
366,1.4588601398601397,,1,
