day_of_year,mean_air_temperature,std_air_temperature,mean_daily_max_air_temperature,std_daily_max_air_temperature
77,8.09899580974581,2.4788905725263253,10.88457142857143,2.909440888850345
78,8.49401268870019,2.338790069864873,12.001857142857144,2.772084199573276
79,8.57414235070485,2.6296734457434585,11.74757142857143,3.056452947298162
80,9.1463185980686,2.347637824274589,12.945142857142857,2.7681170151429306
81,9.773954496891998,2.609763240450814,13.609857142857143,3.696195811397237
82,9.213881833444333,2.9356932801371576,12.011142857142858,3.039420308138348
83,8.844454470618034,2.439173638934848,12.219,2.497130419768526
84,8.50536641895275,2.594190250291325,12.452857142857143,3.5393535863945287
85,7.885085941835941,3.0814449691247323,11.121714285714287,3.3278312113790527
86,7.77536507936508,2.7460127713961797,10.444857142857144,3.1099518982652787
87,7.078533556721057,2.415156792610917,10.330857142857143,2.5541336057830795
88,9.387332174769677,1.8919967386232825,12.684285714285712,2.59437119641001
89,10.45518802031302,2.688947333880436,14.228285714285715,3.681035258107232
90,9.334787455599955,3.4689482281797663,11.932571428571427,4.435451080297728
91,7.833264346764346,3.4413890274943806,11.080714285714285,2.9542658825437336
92,7.746673326673327,3.6378208997525867,10.958285714285713,5.070148640631282
93,7.766908730158731,2.47187750775519,11.11057142857143,3.420948545707894
94,8.672686965811966,2.7553638906485793,12.689857142857145,3.7037688205651396
95,10.047077755577757,3.0227199046569244,15.012857142857143,4.2891402179835305
96,10.030301441613942,3.924916496839071,13.77442857142857,4.760504940204798
97,9.823513215950715,4.080942015377146,13.503714285714285,5.0760887079944315
98,10.965801864801865,3.346674661701261,15.507142857142856,3.7139095047569226
99,11.536989434176935,3.2003646342885608,16.184285714285714,3.941767188892385
100,11.332951735764237,2.8767719137008974,16.685714285714287,3.8725308569584365
101,11.464144327894328,2.4071900429693076,15.398571428571428,2.9670323477139497
102,10.709843156843158,2.823194362693986,14.465428571428571,3.529781808985878
103,10.572078574203573,3.378519537994425,13.671428571428573,4.318882681787922
104,11.405107309357309,3.718578506277859,15.608571428571429,4.912102158857002
105,11.749644751082252,4.050887695358791,15.54857142857143,5.343027944812531
106,11.826552002395752,3.0410304857664308,15.843333333333334,3.627129259713068
107,10.734716435185184,2.3375466008939014,15.104999999999999,3.970555376770359
108,11.232616307303807,3.108084955949402,14.911333333333333,4.142985718858643
109,11.56561122211122,3.405229075143695,16.292857142857144,4.112921566176993
110,11.079124375624374,2.9534379631331062,14.435714285714285,2.9375037993896407
111,11.112920627983128,2.9275193610223775,14.354285714285714,4.425038068170929
112,10.945474032911534,2.8242991002184947,15.060285714285714,3.578142987374211
113,11.2140273488086,3.4736337870270964,14.719666666666667,4.539239657328822
114,10.963807870370369,3.4241381564590867,13.879166666666668,4.7075645685074425
115,11.587833017676767,3.6312633930271483,15.13,5.23260164736434
116,12.293839322714321,3.5576115810701543,16.423333333333332,4.376243442344892
117,13.133843231999483,2.1905098842030575,16.599999999999998,3.2317735069153595
118,14.086514827764828,1.6041071655665016,18.831666666666667,2.0606156038103434
119,14.361503502978502,1.5933625373983824,17.425,2.77435938551587
120,13.092235611610613,2.293517201879005,16.5,3.519682750855064
121,12.689809523809526,2.5773102862194968,15.801428571428572,3.8483608136947014
122,13.661233384670883,3.4594098963011124,17.235714285714288,4.372332928551443
123,13.243538537851038,2.4604951109635183,16.68,2.663612834729051
124,12.992427364302364,1.6441203805089635,15.822857142857144,2.236960097138632
125,12.659369769119769,2.463744568280754,15.891428571428571,3.807437583517417
126,12.95788002969253,2.699378834201139,15.008571428571429,2.950318788263559
127,13.235276251526253,2.2423786362959808,15.881428571428572,3.296844089789651
128,13.58918353174603,2.180707636401105,17.110000000000003,3.1517878524206973
129,15.248672454306258,1.8853641773169518,19.891428571428573,3.7453812826441246
130,14.835139027639027,1.9906033536578556,18.555714285714284,2.9293278930092312
131,14.550998376623378,2.6904850998976824,18.099999999999998,4.124693928038782
132,14.119400252525253,2.8232602760710903,17.228571428571428,3.5072089024913082
133,13.368131500444003,3.590551413072648,16.574285714285715,4.411971808397606
134,13.802319826007325,3.5352706654210677,17.12142857142857,4.764274791163319
135,13.328261904761906,3.8647963381403128,15.892857142857142,5.156370539716589
136,13.024084257159052,3.022698269376532,15.335714285714285,3.368752771886835
137,13.433529212516572,3.389097707957285,16.91,4.988356442757475
138,14.539272533022531,3.7952526111834786,18.06142857142857,4.731519941031735
139,14.918477078477078,3.737233576064467,18.577142857142857,4.500169308984253
140,16.203323407812842,3.7187379953189286,19.924285714285713,4.7435776130921035
141,16.890467032967035,3.7597595633755807,20.482857142857142,4.179281095618058
142,16.565565476190475,3.3446658569938603,21.327142857142857,4.771605998982294
143,16.819871447996448,3.4232436478096178,20.95285714285714,3.9409927441602597
144,15.840990675990676,3.213631764538143,19.442857142857143,4.812389268979649
145,15.823940087690088,3.5752936450901283,19.474285714285713,4.425486252540908
146,17.310124042624043,3.0844283168699436,21.57,3.795391942869669
147,18.26953823953824,2.993609246968726,22.25142857142857,4.060461503209656
148,17.906058316683318,3.3233855318823755,21.822857142857142,4.315073248840296
149,18.311874999999997,2.836546335169092,22.975714285714286,3.5827357198229453
