Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-07-31T09:50:00.000+00:00,S3A,2.81171,2.60053,2.90246,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160731T095024_sui_geneva.tif
2016-07-28T09:27:00.000+00:00,S3A,2.76832,2.37312,3.6105,15,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160728T092758_sui_geneva.tif
2016-08-01T09:24:00.000+00:00,S3A,2.95948,2.42749,8.38007,37,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160801T092413_sui_geneva.tif
2016-08-04T09:46:00.000+00:00,S3A,0.88632,0.02044,1.17805,30,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160804T094640_sui_geneva.tif
2016-08-05T09:20:00.000+00:00,S3A,3.68954,2.85914,5.38377,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160805T092029_sui_geneva.tif
2016-08-03T10:12:00.000+00:00,S3A,3.15479,2.40736,9.56725,87,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160803T101251_sui_geneva.tif
2016-08-07T10:09:00.000+00:00,S3A,3.55691,2.544,9.77104,87,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160807T100906_sui_geneva.tif
2016-08-08T09:42:00.000+00:00,S3A,3.24515,2.25502,8.44837,71,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160808T094255_sui_geneva.tif
2016-08-11T10:05:00.000+00:00,S3A,3.06077,2.26449,9.10341,78,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160811T100522_sui_geneva.tif
2016-08-12T09:39:00.000+00:00,S3A,3.26232,2.43581,10.15966,82,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160812T093911_sui_geneva.tif
2016-08-14T10:27:00.000+00:00,S3A,3.16793,2.50311,7.00234,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160814T102748_sui_geneva.tif
2016-08-15T10:01:00.000+00:00,S3A,3.01349,2.4901,9.17301,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160815T100137_sui_geneva.tif
2016-08-16T09:35:00.000+00:00,S3A,2.82215,2.41677,4.00711,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160816T093526_sui_geneva.tif
2016-08-22T10:20:00.000+00:00,S3A,2.93626,2.29824,9.19633,76,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160822T102019_sui_geneva.tif
2016-08-24T09:27:00.000+00:00,S3A,3.24533,2.37992,8.41357,70,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160824T092758_sui_geneva.tif
2016-08-23T09:54:00.000+00:00,S3A,2.99429,2.32281,9.51443,84,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160823T095409_sui_geneva.tif
2016-08-27T09:50:00.000+00:00,S3A,2.61615,2.17836,9.32669,64,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160827T095024_sui_geneva.tif
2016-08-26T10:16:00.000+00:00,S3A,2.76164,2.08373,10.21489,88,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160826T101635_sui_geneva.tif
2016-08-28T09:24:00.000+00:00,S3A,2.69677,2.36306,7.79392,10,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160828T092413_sui_geneva.tif
2016-08-30T10:12:00.000+00:00,S3A,2.42746,2.03282,8.95256,67,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160830T101251_sui_geneva.tif
2016-08-31T09:46:00.000+00:00,S3A,2.59584,2.22799,7.5095,17,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160831T094640_sui_geneva.tif
2016-09-01T09:20:00.000+00:00,S3A,2.61929,2.35903,2.94182,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160901T092029_sui_geneva.tif
2016-09-03T10:09:00.000+00:00,S3A,2.44439,2.01078,9.5088,68,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160903T100906_sui_geneva.tif
2016-09-07T10:05:00.000+00:00,S3A,2.33283,1.9079,9.04073,83,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160907T100522_sui_geneva.tif
2016-09-08T09:39:00.000+00:00,S3A,2.41095,2.02589,5.75134,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160908T093911_sui_geneva.tif
2016-09-11T10:01:00.000+00:00,S3A,2.53087,2.36011,2.84101,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160911T100137_sui_geneva.tif
2016-09-14T10:24:00.000+00:00,S3A,2.44493,2.10252,9.60782,47,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160914T102404_sui_geneva.tif
2016-09-19T09:54:00.000+00:00,S3A,2.44929,2.0902,7.78517,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160919T095409_sui_geneva.tif
2016-09-20T09:27:00.000+00:00,S3A,2.57219,2.33819,3.43153,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160920T092758_sui_geneva.tif
2016-09-22T10:16:00.000+00:00,S3A,2.61327,2.10749,9.16465,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160922T101635_sui_geneva.tif
2016-09-23T09:50:00.000+00:00,S3A,3.13067,2.4308,4.13619,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160923T095024_sui_geneva.tif
2016-09-24T09:24:00.000+00:00,S3A,3.53268,2.45886,8.02534,20,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160924T092413_sui_geneva.tif
2016-09-26T10:12:00.000+00:00,S3A,4.19297,2.61699,9.83186,30,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160926T101251_sui_geneva.tif
